what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1343246286622
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1343246286623
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1343246286661
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1343246286663
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1343246286672
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1343246286780
error,log,,,"Failed to load properties file for project 'IOIOLights'",1343246286834
error,log,,,"Failed to load properties file for project 'IOIOLights'",1343246286868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343246286914
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343246286971
error,log,,,"Parser exception for /IOIOLights/AndroidManifest.xml: The markup in the document following the root element must be well-formed.",1343246287262
error,log,,,"Parser exception for /IOIOLights/AndroidManifest.xml: The markup in the document following the root element must be well-formed.",1343246288338
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343246288603
closed,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343246288603
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343246289457
closed,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343246289457
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343246292294
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343246292353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343246294737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343246318742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1343246319263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343246319745
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1343246320028
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1343246326375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343246328300
error,log,,,"Parser exception for /IOIOLights/AndroidManifest.xml: The markup in the document following the root element must be well-formed.",1343246328478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343246332354
error,log,,,"Parser exception for /IOIOLights/AndroidManifest.xml: The markup in the document following the root element must be well-formed.",1343246346393
error,log,,,"Parser exception for /IOIOLights/AndroidManifest.xml: The markup in the document following the root element must be well-formed.",1343246346575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343246351598
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1343246351609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343246358373
error,log,,,"Parser exception for /IOIOLights/AndroidManifest.xml: The markup in the document following the root element must be well-formed.",1343246358566
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343246360338
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1343246363220
error,log,,,"Malformed manifest",1343246363327
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1343246366022
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1343246366024
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1343246366026
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1343246366030
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1343246366032
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1343246366036
error,log,,,"",1343246366041
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343246366447
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343246366525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343246366550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343246376799
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343246376825
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343246378537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1343246379022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343246379174
error,log,,,"Parser exception for /IOIOLights/AndroidManifest.xml: The markup in the document following the root element must be well-formed.",1343246379299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343246382905
error,log,,,"Parser exception for /IOIOLights/AndroidManifest.xml: The markup in the document following the root element must be well-formed.",1343246383139
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343246383985
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343246385404
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343246385439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343246405797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343246406611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343246411016
error,log,,,"Parser exception for /IOIOLights/AndroidManifest.xml: The markup in the document following the root element must be well-formed.",1343246411169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343246414112
error,log,,,"Parser exception for /IOIOLights/AndroidManifest.xml: The markup in the document following the root element must be well-formed.",1343246414251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343246418245
error,log,,,"Parser exception for /IOIOLights/AndroidManifest.xml: The markup in the document following the root element must be well-formed.",1343246418408
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343246423506
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1343246423868
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1343246423919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343246439119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343246454830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343246458111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343246459002
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1343246459010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343246459291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343246459552
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343246463182
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343246463329
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343246469547
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1343246473270
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1343246473276
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1343246477655
